task_type_id,group_id,aht_seconds
GEN_INQUIRY,AIR_FR,329
GEN_INQUIRY,RAIL_FR,275
GEN_INQUIRY,BUS_FR,261
GEN_INQUIRY,FERRY_FR,312
GEN_INQUIRY,AIR_ES,287
GEN_INQUIRY,RAIL_ES,335
GEN_INQUIRY,BUS_ES,273
GEN_INQUIRY,AIR_IT,259
GEN_INQUIRY,RAIL_IT,316
GEN_INQUIRY,FERRY_IT,342
GEN_INQUIRY,AIR_GB,288
GEN_INQUIRY,FERRY_GB,272
MODERATION,AIR_FR,149
MODERATION,RAIL_FR,158
MODERATION,BUS_FR,165
MODERATION,FERRY_FR,142
MODERATION,AIR_ES,164
MODERATION,RAIL_ES,140
MODERATION,BUS_ES,134
MODERATION,AIR_IT,128
MODERATION,RAIL_IT,157
MODERATION,FERRY_IT,163
MODERATION,AIR_GB,153
MODERATION,FERRY_GB,133
COMPLEX_CASE,AIR_FR,714
COMPLEX_CASE,RAIL_FR,777
COMPLEX_CASE,BUS_FR,732
COMPLEX_CASE,FERRY_FR,678
COMPLEX_CASE,AIR_ES,706
COMPLEX_CASE,RAIL_ES,700
COMPLEX_CASE,BUS_ES,663
COMPLEX_CASE,AIR_IT,673
COMPLEX_CASE,RAIL_IT,755
COMPLEX_CASE,FERRY_IT,781
COMPLEX_CASE,AIR_GB,700
COMPLEX_CASE,FERRY_GB,648
REFUND_CLAIM,AIR_FR,526
REFUND_CLAIM,RAIL_FR,593
REFUND_CLAIM,BUS_FR,600
REFUND_CLAIM,FERRY_FR,635
REFUND_CLAIM,AIR_ES,579
REFUND_CLAIM,RAIL_ES,623
REFUND_CLAIM,BUS_ES,526
REFUND_CLAIM,AIR_IT,683
REFUND_CLAIM,RAIL_IT,636
REFUND_CLAIM,FERRY_IT,684
REFUND_CLAIM,AIR_GB,639
REFUND_CLAIM,FERRY_GB,559
