task_type_id,group_id,contact_rate
GEN_INQUIRY,AIR_FR,0.08345
GEN_INQUIRY,RAIL_FR,0.07864
GEN_INQUIRY,BUS_FR,0.08131
GEN_INQUIRY,FERRY_FR,0.08786
GEN_INQUIRY,AIR_ES,0.08619
GEN_INQUIRY,RAIL_ES,0.0913
GEN_INQUIRY,BUS_ES,0.08668
GEN_INQUIRY,AIR_IT,0.0792
GEN_INQUIRY,RAIL_IT,0.0717
GEN_INQUIRY,FERRY_IT,0.08587
GEN_INQUIRY,AIR_GB,0.07582
GEN_INQUIRY,FERRY_GB,0.07927
MODERATION,AIR_FR,0.01333
MODERATION,RAIL_FR,0.01377
MODERATION,BUS_FR,0.01472
MODERATION,FERRY_FR,0.0159
MODERATION,AIR_ES,0.0165
MODERATION,RAIL_ES,0.01449
MODERATION,BUS_ES,0.01582
MODERATION,AIR_IT,0.01365
MODERATION,RAIL_IT,0.01629
MODERATION,FERRY_IT,0.01592
MODERATION,AIR_GB,0.01482
MODERATION,FERRY_GB,0.01338
COMPLEX_CASE,AIR_FR,0.01261
COMPLEX_CASE,RAIL_FR,0.01223
COMPLEX_CASE,BUS_FR,0.01248
COMPLEX_CASE,FERRY_FR,0.01221
COMPLEX_CASE,AIR_ES,0.01031
COMPLEX_CASE,RAIL_ES,0.01097
COMPLEX_CASE,BUS_ES,0.01327
COMPLEX_CASE,AIR_IT,0.01041
COMPLEX_CASE,RAIL_IT,0.01126
COMPLEX_CASE,FERRY_IT,0.01221
COMPLEX_CASE,AIR_GB,0.01259
COMPLEX_CASE,FERRY_GB,0.01313
REFUND_CLAIM,AIR_FR,0.00685
REFUND_CLAIM,RAIL_FR,0.00853
REFUND_CLAIM,BUS_FR,0.00719
REFUND_CLAIM,FERRY_FR,0.00717
REFUND_CLAIM,AIR_ES,0.00787
REFUND_CLAIM,RAIL_ES,0.00752
REFUND_CLAIM,BUS_ES,0.00767
REFUND_CLAIM,AIR_IT,0.00708
REFUND_CLAIM,RAIL_IT,0.00898
REFUND_CLAIM,FERRY_IT,0.00744
REFUND_CLAIM,AIR_GB,0.00867
REFUND_CLAIM,FERRY_GB,0.00788
