month,region_id,supply_id,task_type_id,contact_rate
2026-07,FR,AIR,GEN_INQUIRY,0.08284
2026-07,FR,AIR,MODERATION,0.01359
2026-07,FR,AIR,COMPLEX_CASE,0.01176
2026-07,FR,RAIL,GEN_INQUIRY,0.08633
2026-07,FR,RAIL,MODERATION,0.01551
2026-07,FR,RAIL,COMPLEX_CASE,0.01137
2026-07,FR,BUS,GEN_INQUIRY,0.08564
2026-07,FR,BUS,MODERATION,0.01454
2026-07,FR,BUS,COMPLEX_CASE,0.01285
2026-07,FR,FERRY,GEN_INQUIRY,0.07678
2026-07,FR,FERRY,MODERATION,0.01527
2026-07,FR,FERRY,COMPLEX_CASE,0.01175
2026-07,ES,AIR,GEN_INQUIRY,0.0764
2026-07,ES,AIR,MODERATION,0.01616
2026-07,ES,AIR,COMPLEX_CASE,0.01125
2026-07,ES,RAIL,GEN_INQUIRY,0.07336
2026-07,ES,RAIL,MODERATION,0.01453
2026-07,ES,RAIL,COMPLEX_CASE,0.01252
2026-07,ES,BUS,GEN_INQUIRY,0.08492
2026-07,ES,BUS,MODERATION,0.0165
2026-07,ES,BUS,COMPLEX_CASE,0.01151
2026-07,IT,AIR,GEN_INQUIRY,0.07853
2026-07,IT,AIR,MODERATION,0.01391
2026-07,IT,AIR,COMPLEX_CASE,0.01218
2026-07,IT,RAIL,GEN_INQUIRY,0.08796
2026-07,IT,RAIL,MODERATION,0.0156
2026-07,IT,RAIL,COMPLEX_CASE,0.01223
2026-07,IT,FERRY,GEN_INQUIRY,0.07828
2026-07,IT,FERRY,MODERATION,0.01625
2026-07,IT,FERRY,COMPLEX_CASE,0.01199
2026-07,GB,AIR,GEN_INQUIRY,0.07415
2026-07,GB,AIR,MODERATION,0.0146
2026-07,GB,AIR,COMPLEX_CASE,0.01096
2026-07,GB,FERRY,GEN_INQUIRY,0.07523
2026-07,GB,FERRY,MODERATION,0.01355
2026-07,GB,FERRY,COMPLEX_CASE,0.01189
